id	categories	canonical	display	expected	target	status	path_id
Chest_Wizard_F	Cosmetics	Wizard Female Top	Wizard Female Top	巫师女上装	巫师女上装	covered	82962
Chest_Wizard_M	Cosmetics	Wizard Male Top	Wizard Male Top	巫师男上装	巫师男上装	covered	82963
Chick	Cosmetics,Monsters	Chick | Peep Pet	Chick	小鸡	小鸡	covered	84855
Chick	Cosmetics,Monsters	Chick | Peep Pet	Chick Card	小鸡卡片	小鸡卡片	covered	82499
Chick	Cosmetics,Monsters	Chick | Peep Pet	Chick Pet	啾啾小鸡宠物	啾啾小鸡宠物	covered	83278
Chicky Hood	Cosmetics,Equips	Chicky Hood	Chicky Hood	小鸡兜帽	小鸡兜帽	covered	83838
Chirpy Hat	Cosmetics,Equips	Chirpy Hat	Chirpy Hat	啾啾帽	啾啾帽	covered	83839
Chompy Hood	Cosmetics,Equips	Chompy Hood	Chompy Hood	咬咬兜帽	咬咬兜帽	covered	83840
Chronomancer	Archetypes	Chronomancer	Chronomancer	时空法师	时空法师	covered	82383
Cinnamon	Junks	Cinnamon	Cinnamon	肉桂	肉桂	covered	84359
Citrus	Junks	Citrus	Citrus	柑橘	柑橘	covered	84360
Clay	Junks	Clay	Clay	黏土	黏土	covered	84361
ClericChest	Cosmetics,Equips	Cleric Chest	Cleric Chest	祭司胸甲	祭司胸甲	covered	83545
ClericFeet	Cosmetics,Equips	Cleric Shoes	Cleric Shoes	祭司鞋	祭司鞋	covered	83546
ClericLegs	Cosmetics,Equips	Cleric Legs	Cleric Legs	祭司护腿	祭司护腿	covered	83547
Cloaking	Skills,Statuses	Cloaking	Cloaking	隐匿	隐匿	covered	85220
Cloud Loop	Cosmetics,Equips	Cloud Loop	Cloud Loop	云环	云环	covered	83499
Cloud Mount	Cosmetics	Flying Nimbus	Flying Nimbus	飞云	飞云	covered	83239
Clownfish	Junks	Clownfish	Clownfish	小丑鱼	小丑鱼	covered	84362
Coal	Junks	Coal	Coal	煤炭	煤炭	covered	84364
Coal Hard	Junks	Hard Coal	Coal Hard	硬煤	硬煤	covered	84363
Cobra Venom	Monsters	Cobra	Cobra	眼镜蛇	眼镜蛇	covered	84856
Cobra Venom	Monsters	Cobra	Cobra Card	眼镜蛇卡片	眼镜蛇卡片	covered	82500
Cocoa	Junks	Cocoa	Cocoa	可可	可可	covered	84365
Coconut Oil	Junks	Coconut Oil	Coconut Oil	椰子油	椰子油	covered	84366
Codex	Cosmetics,Equips	Tome	Tome	典籍	典籍	covered	84021
Codex Binding Light	Cosmetics,Equips	Grimoire of Binding Light	Grimoire of Binding Light	缚光魔典	缚光魔典	covered	84016
Codex First Hymn	Cosmetics,Equips	Tome of the First Hymn	Tome of the First Hymn	初颂典籍	初颂典籍	covered	84017
Codex of Revelation	Cosmetics,Equips	Codex of Revelation	Codex of Revelation	启示录法典	启示录法典	covered	84020
Codex Umbra	Cosmetics,Equips	Codex Umbra	Codex Umbra	翁布拉法典	翁布拉法典	covered	84018
Codex Vitae	Cosmetics,Equips	Codex Vitae	Codex Vitae	维泰法典	维泰法典	covered	84019
CodexMastery	SkillPassives	Codex Mastery	Codex Mastery	法典精通	法典精通	covered	85164
Coelacanth	Junks	Coelacanth	Coelacanth	腔棘鱼	腔棘鱼	covered	84367
Coffeebean	Junks	Coffee Bean	Coffeebean	咖啡豆	咖啡豆	covered	84368
Combat Knife	Cosmetics,Equips	Combat Knife	Combat Knife	战斗刀	战斗刀	covered	84022
CombatMounted	Statuses	Combat Mounted	Combat Mounted	战斗骑乘	战斗骑乘	covered	85503
ComboReady	Statuses	Combo Ready	Combo Ready	连击就绪	连击就绪	covered	85504
Combustion	Skills	Combustion	Combustion	燃爆	燃爆	covered	85221
Conjurer	Skills,Statuses	Conjurer	Conjurer	唤灵师	唤灵师	covered	85222
ConsecratedGround	Skills	Consecrated Ground	Consecrated Ground	祝圣之地	祝圣之地	covered	85223
Consecration	Skills	Consecration	Consecration	奉献	奉献	covered	85224
Consecration Gem	Gems	Consecration Gem	Consecration Gem	奉献宝石	奉献宝石	covered	84191
Conviction	Skills	Conviction Aura	Conviction Aura	信念光环	信念光环	covered	85225
Copper	Junks	Copper	Copper	铜	铜	covered	84369
Coral Stone	Junks	Hard Coral	Coral Stone	硬珊瑚	硬珊瑚	covered	84371
Coral Stone Piece	Junks	Coral Stone Piece	Coral Stone Piece	珊瑚石片	珊瑚石片	covered	84370
Corn	Junks	Corn	Corn	玉米	玉米	covered	84372
Cornerstone	Junks	Cornerstone	Cornerstone	基石	基石	covered	84373
Corporeal	Artifacts	Corporeal	Corporeal	血肉之躯	血肉之躯	covered	82414
CorpseBarrier	Skills,Statuses	Corpse Barrier	Corpse Barrier	尸体屏障	尸体屏障	covered	85226
CorpseExplosion	Skills,Statuses	Corpse Explosion	Corpse Explosion	尸体爆炸	尸体爆炸	covered	85227
CorpseExplosionEnemy	Skills	Corpse Explosion (Enemy)	Corpse Explosion	尸体爆炸	尸体爆炸	covered	85228
CorpseExplosionSummon	Skills	Corpse Explosion (Summon)	Corpse Explosion	尸体爆炸	尸体爆炸	covered	85229
Cosmetic Converter	Junks	Cosmetic Converter	Cosmetic Converter	装扮转换器	装扮转换器	covered	84374
Cost	Artifacts	Evercast	Arcanum Verge	永恒施法	永恒施法	covered	82415
Cotton	Junks	Cotton	Cotton	棉花	棉花	covered	84375
Cotton Mask	Cosmetics,Equips	Cotton Mask	Cotton Mask	棉布口罩	棉布口罩	covered	83841
Counter	Skills,Statuses	Counter | Counter Stance	Counter	反击	反击	covered	85508
Counter	Skills,Statuses	Counter | Counter Stance	Counter Stance	反击姿态	反击姿态	covered	85230
CounterSlash	Skills	Counter Slash	Counter Slash	反击斩	反击斩	covered	85231
CounterSlash Gem	Gems	Counter Slash Gem	Counter Slash Gem	反击斩宝石	反击斩宝石	covered	84193
Craftsman	Archetypes,NPCs	Craftsman	Craftsman	工匠	工匠	covered	85142
Creeper	Monsters	Crawler	Crawler	爬行者	爬行者	covered	84857
Creeper	Monsters	Crawler	Crawler Card	爬行者卡片	爬行者卡片	covered	82501
Crimson Crest	Cosmetics,Equips	Crimson Crest	Crimson Crest	绯红徽记	绯红徽记	covered	83842
Crimson Plume	Cosmetics,Equips	Crimson Plume	Crimson Plume	深红羽翎	深红羽翎	covered	83843
CrimsonFrenzy	Skills	Crimson Frenzy	Crimson Frenzy	绯红狂乱	绯红狂乱	covered	85232
Crit	Artifacts	Furybrand	Furybrand	怒火烙印	怒火烙印	covered	82416
CritDamage Gem	Gems	Razor Gem	Razor Gem	利刃宝石	利刃宝石	covered	84194
CritMastery	SkillPassives	Honed Blade	Honed Blade	磨砺之刃	磨砺之刃	covered	85165
Crown of Spikes	Cosmetics,Equips	Crown of Spikes	Crown of Spikes	尖刺王冠	尖刺王冠	covered	83675
Crucian	Junks	Crucian	Crucian	鲫鱼	鲫鱼	covered	84376
Crusader Staff	Cosmetics,Equips	Radiant Scepter	Radiant Scepter	光辉权杖	光辉权杖	covered	84023
Crusader Sword	Cosmetics,Equips	Oathbreaker	Oathbreaker	背誓者	背誓者	covered	84024
CrushingAdvance	Skills	Crushing Advance	Crushing Advance	碾压进击	碾压进击	covered	85233
Crystal Cache	Cosmetics,Equips	Crystal Cache	Crystal Cache	水晶秘藏	水晶秘藏	covered	83676
Crystal Guardian Amethyst	Monsters	Amethyst Guardian	Amethyst Guardian	紫晶守护者	紫晶守护者	covered	84858
Crystal Guardian Amethyst	Monsters	Amethyst Guardian	Amethyst Guardian Card	紫晶守护者卡片	紫晶守护者卡片	covered	82502
Crystal Guardian Aqua	Monsters	Aquamarine Guardian	Aquamarine Guardian	海蓝宝守护者	海蓝宝守护者	covered	84859
Crystal Guardian Aqua	Monsters	Aquamarine Guardian	Aquamarine Guardian Card	海蓝宝守护者卡片	海蓝宝守护者卡片	covered	82503
Crystal Guardian Emerald	Monsters	Emerald Guardian	Emerald Guardian	翡翠守护者	翡翠守护者	covered	84860
Crystal Guardian Emerald	Monsters	Emerald Guardian	Emerald Guardian Card	翡翠守护者卡片	翡翠守护者卡片	covered	82504
Crystal Slammer	Cosmetics,Equips	Crystal Slammer	Crystal Slammer	水晶猛击者	水晶猛击者	covered	84025
Crystal Wings	Cosmetics,Equips	Crystal Wings	Crystal Wings	水晶羽翼	水晶羽翼	covered	83677
Cure	Skills	Cure	Cure	净化	净化	covered	85234
CureAll	Skills	Mass Cure	Mass Cure	群体净化	群体净化	covered	85235
Curry	Junks	Curry	Curry	咖喱	咖喱	covered	84377
Curse	Statuses	Curse	Curse	诅咒	诅咒	covered	85509
Curse Tag	Cosmetics,Equips	Curse Tag	Curse Tag	诅咒铭牌	诅咒铭牌	covered	83844
Cursed Grimoire	Cosmetics,Equips	Cursed Grimoire	Cursed Grimoire	诅咒魔典	诅咒魔典	covered	83678
CurseImmunity	Statuses	Curse Immunity	Curse Immunity	诅咒免疫	诅咒免疫	covered	85510
Cyclone	Skills	Cyclone	Cyclone	旋风	旋风	covered	85236
Cyclone Gem	Gems	Cyclone Gem	Cyclone Gem	旋风宝石	旋风宝石	covered	84196
Cyclops	Monsters	Cyclops	Cyclops	独眼巨人	独眼巨人	covered	84866
Cyclops	Monsters	Cyclops	Cyclops Card	独眼巨人卡片	独眼巨人卡片	covered	82510
Cyclops Bat	Monsters	Eyeclops Bat	Eyeclops Bat	独眼蝙蝠	独眼蝙蝠	covered	84863
Cyclops Bat	Monsters	Eyeclops Bat	Eyeclops Bat Card	独眼蝙蝠卡片	独眼蝙蝠卡片	covered	82507
Cyclops Bat Mage	Monsters	Eyeclops Mage	Eyeclops Mage	独眼法师	独眼法师	covered	84861
Cyclops Bat Mage	Monsters	Eyeclops Mage	Eyeclops Mage Card	独眼法师卡片	独眼法师卡片	covered	82505
Cyclops Bat Wizard	Monsters	Eyeclops Arcanist	Eyeclops Arcanist	独眼奥术师	独眼奥术师	covered	84862
Cyclops Bat Wizard	Monsters	Eyeclops Arcanist	Eyeclops Arcanist Card	独眼奥术师卡片	独眼奥术师卡片	covered	82506
Cyclops Giant	Monsters	Cyclops Titan	Cyclops Titan	独眼巨人泰坦	独眼巨人泰坦	covered	84864
Cyclops Giant	Monsters	Cyclops Titan	Cyclops Titan Card	独眼巨人泰坦卡片	独眼巨人泰坦卡片	covered	82508
Cyclops Minion	Cosmetics,Monsters	Cyclopling | Frostclops Pet	Cyclopling	独眼幼体	独眼幼体	covered	84865
Cyclops Minion	Cosmetics,Monsters	Cyclopling | Frostclops Pet	Cyclopling Card	独眼幼体卡片	独眼幼体卡片	covered	82509
Cyclops Minion	Cosmetics,Monsters	Cyclopling | Frostclops Pet	Cyclopling Pet	冰霜独眼怪宠物	冰霜独眼怪宠物	covered	83279
Daggers	Cosmetics,Equips	Twin Daggers	Daggers	双匕首	双匕首	covered	83679
Daggertooth	Junks	Daggertooth	Daggertooth	匕齿	匕齿	covered	84378
Damnation	Skills	Damnation	Damnation	天谴	天谴	covered	85237
Damnation Gem	Gems	Damnation Gem	Damnation Gem	天谴宝石	天谴宝石	covered	84197
Dandlelion Baby	Junks	Dandelion Baby	Dandlelion Baby	蒲公英宝贝	蒲公英宝贝	covered	84379
Dark Bark	Junks	Dark Bark	Dark Bark	深色树皮	深色树皮	covered	84381
Dark Bark Piece	Junks	Dark Bark Piece	Dark Bark Piece	深色树皮片	深色树皮片	covered	84380
Dark Exorcism	Skills	Dark Exorcism	Dark Exorcism	暗影驱邪	暗影驱邪	covered	85238
Dark Sleeper	Junks	Dark Sleeper	Dark Sleeper	暗眠鱼	暗眠鱼	covered	84382
Dark Wizard Black	Monsters	Onyx Warlock	Onyx Warlock	玛瑙术士	玛瑙术士	covered	84867
Dark Wizard Black	Monsters	Onyx Warlock	Onyx Warlock Card	玛瑙术士卡片	玛瑙术士卡片	covered	82511
Dark Wizard Purple	Monsters	Violet Warlock	Violet Warlock	紫罗兰术士	紫罗兰术士	covered	84868
Dark Wizard Purple	Monsters	Violet Warlock	Violet Warlock Card	紫罗兰术士卡片	紫罗兰术士卡片	covered	82512
Dark Wizard Red	Monsters	Scarlet Warlock	Scarlet Warlock	猩红术士	猩红术士	covered	84869
Dark Wizard Red	Monsters	Scarlet Warlock	Scarlet Warlock Card	猩红术士卡片	猩红术士卡片	covered	82513
DarkClaw	Skills	Dark Claw	Dark Claw	暗影之爪	暗影之爪	covered	85239
DarkClaw Gem	Gems	Dark Claw Gem	Dark Claw Gem	暗影之爪宝石	暗影之爪宝石	covered	84198
Darkfeather Wings	Cosmetics,Equips	Darkfeather Wings	Darkfeather Wings	黑羽之翼	黑羽之翼	covered	83680
Darkhide Gloves	Cosmetics,Equips	Darkhide Gloves	Darkhide Gloves	黑皮手套	黑皮手套	covered	83500
Data Crystal	Junks	Data Crystal	Data Crystal	数据水晶	数据水晶	covered	84383
Dawn Prayer	Cosmetics,Equips	Dawn Prayer	Dawn Prayer	黎明祈祷	黎明祈祷	covered	83501
Dawn Stone	Junks	Dawn Stone	Dawn Stone	黎明石	黎明石	covered	84384
Dawnstar	Cosmetics,Equips	Dawnstar	Dawnstar	晨星	晨星	covered	84026
Death	Cosmetics,Monsters	Deathling Pet | Wight	Wight	尸妖	尸妖	covered	84871
Death	Cosmetics,Monsters	Deathling Pet | Wight	Wight Card	尸妖卡片	尸妖卡片	covered	82515
Death	Cosmetics,Monsters	Deathling Pet | Wight	Wight Pet	死灵幼体宠物	死灵幼体宠物	covered	83280
Death Mage	Monsters	Abyss Archon	Abyss Archon	深渊执政官	深渊执政官	covered	84870
Death Mage	Monsters	Abyss Archon	Abyss Archon Card	深渊执政官卡片	深渊执政官卡片	covered	82514
Death Mage	Monsters	Abyss Archon	Death Mage	深渊执政官	深渊执政官	covered	85667
DeathBond	Skills,Statuses	Death Bond	Death Bond	死亡羁绊	死亡羁绊	covered	85240
DeathBramble	Skills,Statuses	Necrotic Presence	Necrotic Presence	死灵气场	死灵气场	covered	85241
DeathBrambleEnemy	Skills,Statuses	Necrotic Presence (Enemy)	Necrotic Presence Enemy	死灵气场（敌方）	死灵气场（敌方）	covered	85242
DeathCoil	Skills	Death Coil	Death Coil	死亡缠绕	死亡缠绕	covered	85243
DeathCoilEnemy	Skills	Death Coil (Enemy)	Death Coil	死亡缠绕	死亡缠绕	covered	85244
DeathCoilSummon	Skills	Death Coil (Summon)	Death Coil	死亡缠绕	死亡缠绕	covered	85245
DeathNova	Skills	Death Nova	Death Nova	死亡新星	死亡新星	covered	85246
DeathNova Gem	Gems	Death Nova Gem	Death Nova Gem	死亡新星宝石	死亡新星宝石	covered	84200
DeathNovaField	Skills	Death Nova Field	Death Nova Field	死亡新星力场	死亡新星力场	covered	85247
DeathSpiral	Skills	Death Spiral	Death Spiral	死亡螺旋	死亡螺旋	covered	85248
DeathSpiral Gem	Gems	Death Spiral Gem	Death Spiral Gem	死亡螺旋宝石	死亡螺旋宝石	covered	84201
Decay	Statuses	Decay	Decay	腐朽	腐朽	covered	85514
DecayAura	Skills	Decay Aura	Decay Aura	腐朽光环	腐朽光环	covered	85249
DecayImmunity	Statuses	Decay Immunity	Decay Immunity	腐朽免疫	腐朽免疫	covered	85515
Def	Artifacts	Titanplate	Titanplate	泰坦战甲	泰坦战甲	covered	82417
Defiance	Skills,Statuses	Defiance | Defiance Aura	Defiance	抗御	抗御	covered	85516
Defiance	Skills,Statuses	Defiance | Defiance Aura	Defiance Aura	抗御光环	抗御光环	covered	85250
Deflect	Skills	Deflect	Deflect	偏转	偏转	covered	85251
DefMult Gem	Gems	Bastion Gem	Bastion Gem	堡垒宝石	堡垒宝石	covered	84202
Delivery Robot	Monsters	Delivery Robot	Delivery Robot	送货机器人	送货机器人	covered	84872
Delivery Robot	Monsters	Delivery Robot	Delivery Robot Card	送货机器人卡片	送货机器人卡片	covered	82516
Demon Cat	Cosmetics,Equips	Demon Cat Hood	Cheshire Cat	恶魔猫兜帽	恶魔猫兜帽	covered	83846
Demon Hood	Cosmetics,Equips	Demon Hood	Demon Hood	恶魔兜帽	恶魔兜帽	covered	83847
Destruction Staff	Cosmetics,Equips	Destruction Staff	Destruction Staff	毁灭法杖	毁灭法杖	covered	84027
Detector Gem	Gems	Seer Gem	Seer Gem	先知宝石	先知宝石	covered	84203
Devil Bat	Monsters	Fire Bat	Fire Bat	火蝙蝠	火蝙蝠	covered	84873
Devil Bat	Monsters	Fire Bat	Fire Bat Card	火蝙蝠卡片	火蝙蝠卡片	covered	82517
Devil Hades	Monsters	Inferno Bat	Inferno Bat	炼狱蝙蝠	炼狱蝙蝠	covered	84874
Devil Hades	Monsters	Inferno Bat	Inferno Bat Card	炼狱蝙蝠卡片	炼狱蝙蝠卡片	covered	82518
Devil Hell	Monsters	Hell Bat	Hell Bat	地狱蝙蝠	地狱蝙蝠	covered	84875
Devil Hell	Monsters	Hell Bat	Hell Bat Card	地狱蝙蝠卡片	地狱蝙蝠卡片	covered	82519
Diamond	Junks	Diamond	Diamond	钻石	钻石	covered	84385
Diatomite	Junks	Diatomite	Diatomite	硅藻土	硅藻土	covered	84387
Diatomite Piece	Junks	Diatomite Piece	Diatomite Piece	硅藻土片	硅藻土片	covered	84386
Dino Cub Backpack	Cosmetics,Equips	Dino Cub Backpack	Dino Cub Backpack	恐龙幼崽背包	恐龙幼崽背包	covered	83682
Direwolf	Monsters	Direwolf	Direwolf	恐狼	恐狼	covered	84876
Direwolf	Monsters	Direwolf	Direwolf Card	恐狼卡片	恐狼卡片	covered	82520
DiscipleArmlets	Cosmetics,Equips	Disciple's Bracers	Disciple's Bracers	门徒护腕	门徒护腕	covered	83548
DiscipleChest	Cosmetics,Equips	Disciple's Manteau	Disciple's Manteau	门徒斗篷	门徒斗篷	covered	83549
DiscipleFeet	Cosmetics,Equips	Disciple's Shoes	Disciple's Shoes	门徒鞋	门徒鞋	covered	83550
DiscipleHelm	Cosmetics,Equips	Disciple's Visage	Disciple's Visage	门徒面容	门徒面容	covered	83551
DiscipleLegs	Cosmetics,Equips	Disciple's Wraps	Disciple's Wraps	门徒裹布	门徒裹布	covered	83552
Discipline Band	Cosmetics,Equips	Discipline Mask	Discipline Band	纪律面具	纪律面具	covered	83848
Dispell	Skills	Absolution	Absolution	赦免	赦免	covered	85252
DivinePunishment	Skills	Divine Punishment	Divine Punishment	神罚	神罚	covered	85253
DivinePunishment Gem	Gems	Divine Punishment Gem	Divine Punishment Gem	神罚宝石	神罚宝石	covered	84204
Divinity	Skills,Statuses	Divinity	Divinity	神性	神性	covered	85254
Dog Bark	Monsters	Hound	Hound	猎犬	猎犬	covered	84877
Dog Bark	Monsters	Hound	Hound Card	猎犬卡片	猎犬卡片	covered	82521
Dog Bowwow	Monsters	Hellhound	Hellhound	地狱犬	地狱犬	covered	84878
Dog Bowwow	Monsters	Hellhound	Hellhound Card	地狱犬卡片	地狱犬卡片	covered	82522
Dog Pup	Cosmetics,Monsters	Hot Dog Pet | Pup	Pup	小狗	小狗	covered	84879
Dog Pup	Cosmetics,Monsters	Hot Dog Pet | Pup	Pup Card	小狗卡片	小狗卡片	covered	82523
Dog Pup	Cosmetics,Monsters	Hot Dog Pet | Pup	Pup Pet	热狗宠物	热狗宠物	covered	83281
Doom Crescent	Cosmetics,Equips	Doom Crescent	Doom Crescent	末日新月	末日新月	covered	84028
Doom Crown	Cosmetics,Equips	Doom Crown	Doom Crown	厄运王冠	厄运王冠	covered	83849
Doom Keg	Cosmetics,Equips	Doom Keg	Doom Keg	厄运酒桶	厄运酒桶	covered	83683
Double Ravenbeak	Equips	Double Ravenbeak	Double Ravenbeak	双乌喙	双乌喙	covered	84029
DoubleAttack Gem	Gems	Echo Gem	Echo Gem	回声宝石	回声宝石	covered	84205
Dragon Blizzard	Cosmetics,Monsters	Frost Wyvern | Snowwyrm Mount	Frost Wyvern	冰霜飞龙	冰霜飞龙	covered	84880
Dragon Blizzard	Cosmetics,Monsters	Frost Wyvern | Snowwyrm Mount	Frost Wyvern Card	冰霜飞龙卡片	冰霜飞龙卡片	covered	82524
Dragon Blizzard	Cosmetics,Monsters	Frost Wyvern | Snowwyrm Mount	Frost Wyvern Mount	雪龙坐骑	雪龙坐骑	covered	83240
Dragon Bot	Monsters	Dragon Bot	Dragon Bot	机械幼龙	机械幼龙	covered	84881
Dragon Bot	Monsters	Dragon Bot	Dragon Bot Card	机械幼龙卡片	机械幼龙卡片	covered	82525
Dragon Darkness	Cosmetics,Monsters	Noctwyrm Mount | Shadow Wyvern	Shadow Wyvern	暗影飞龙	暗影飞龙	covered	84882
Dragon Darkness	Cosmetics,Monsters	Noctwyrm Mount | Shadow Wyvern	Shadow Wyvern Card	暗影飞龙卡片	暗影飞龙卡片	covered	82526
Dragon Darkness	Cosmetics,Monsters	Noctwyrm Mount | Shadow Wyvern	Shadow Wyvern Mount	夜龙坐骑	夜龙坐骑	covered	83241
Dragon Dusk	Cosmetics,Monsters	Dusk Drake | Twilight Wyrm Pet	Dusk Drake	黄昏幼龙	黄昏幼龙	covered	84883
Dragon Dusk	Cosmetics,Monsters	Dusk Drake | Twilight Wyrm Pet	Dusk Drake Card	黄昏幼龙卡片	黄昏幼龙卡片	covered	82527
Dragon Dusk	Cosmetics,Monsters	Dusk Drake | Twilight Wyrm Pet	Dusk Drake Pet	暮光巨龙宠物	暮光巨龙宠物	covered	83282
Dragon Fire	Monsters	Flame Drake	Flame Drake	火焰幼龙	火焰幼龙	covered	84884
Dragon Fire	Monsters	Flame Drake	Flame Drake Card	火焰幼龙卡片	火焰幼龙卡片	covered	82528
Dragon Hood	Cosmetics,Equips	Dragon Hood	Dragon Hood	巨龙兜帽	巨龙兜帽	covered	83850
Dragon Ice	Monsters	Rime Drake	Rime Drake	霜冻幼龙	霜冻幼龙	covered	84885
Dragon Ice	Monsters	Rime Drake	Rime Drake Card	霜冻幼龙卡片	霜冻幼龙卡片	covered	82529
Dragon Inferno	Cosmetics,Monsters	Hellwyrm Mount | Inferno Wyvern	Inferno Wyvern	地狱飞龙	地狱飞龙	covered	84886
Dragon Inferno	Cosmetics,Monsters	Hellwyrm Mount | Inferno Wyvern	Inferno Wyvern Card	地狱飞龙卡片	地狱飞龙卡片	covered	82530
Dragon Inferno	Cosmetics,Monsters	Hellwyrm Mount | Inferno Wyvern	Inferno Wyvern Mount	狱龙坐骑	狱龙坐骑	covered	83242
Dragon King Blue	Monsters	Frost Wyrm	Frost Wyrm	冰霜龙	冰霜龙	covered	84887
Dragon King Blue	Monsters	Frost Wyrm	Frost Wyrm Card	冰霜龙卡片	冰霜龙卡片	covered	82531
Dragon King Green	Monsters	Fire Wyrm	Fire Wyrm	火龙	火龙	covered	84888
Dragon King Green	Monsters	Fire Wyrm	Fire Wyrm Card	火龙卡片	火龙卡片	covered	82532
Dragon King Orange	Monsters	Earth Wyrm	Earth Wyrm	地龙	地龙	covered	84889
Dragon King Orange	Monsters	Earth Wyrm	Earth Wyrm Card	地龙卡片	地龙卡片	covered	82533
Dragon King Purple	Monsters	Lightning Wyrm	Lightning Wyrm	闪电龙	闪电龙	covered	84890
Dragon King Purple	Monsters	Lightning Wyrm	Lightning Wyrm Card	闪电龙卡片	闪电龙卡片	covered	82534
Dragon Nightfall	Monsters	Night Drake	Night Drake	暗夜幼龙	暗夜幼龙	covered	84891
Dragon Nightfall	Monsters	Night Drake	Night Drake Card	暗夜幼龙卡片	暗夜幼龙卡片	covered	82535
Dragon Predator Robot	Monsters	Robot Dragon	Robot Dragon	机械龙	机械龙	covered	84892
Dragon Predator Robot	Monsters	Robot Dragon	Robot Dragon Card	机械龙卡片	机械龙卡片	covered	82536
Dragon Robot	Monsters	Dragon Robot	Dragon Robot	巨龙机器人	巨龙机器人	covered	84893
Dragon Robot	Monsters	Dragon Robot	Dragon Robot Card	巨龙机器人卡片	巨龙机器人卡片	covered	82537
Dragon Spark	Cosmetics,Monsters	Spark Drake | Spark Drake Pet	Spark Drake	火花幼龙	火花幼龙	covered	84894
Dragon Spark	Cosmetics,Monsters	Spark Drake | Spark Drake Pet	Spark Drake Card	火花幼龙卡片	火花幼龙卡片	covered	82538
Dragon Spark	Cosmetics,Monsters	Spark Drake | Spark Drake Pet	Spark Drake Pet	火花幼龙宠物	火花幼龙宠物	covered	83283
Dragon Water	Cosmetics,Monsters	Aqua Drake | Puddle Drake Pet	Aqua Drake	碧水幼龙	碧水幼龙	covered	84895
Dragon Water	Cosmetics,Monsters	Aqua Drake | Puddle Drake Pet	Aqua Drake Card	碧水幼龙卡片	碧水幼龙卡片	covered	82539
Dragon Water	Cosmetics,Monsters	Aqua Drake | Puddle Drake Pet	Aqua Drake Pet	水坑幼龙宠物	水坑幼龙宠物	covered	83284
Dragonfly Arrow	Monsters	Darter	Darter	箭蜓	箭蜓	covered	84896
Dragonfly Arrow	Monsters	Darter	Darter Card	箭蜓卡片	箭蜓卡片	covered	82540
Dragonfly Darner	Cosmetics,Monsters	Kadregan Pet | Skimmer	Skimmer	掠水蜓	掠水蜓	covered	84897
Dragonfly Darner	Cosmetics,Monsters	Kadregan Pet | Skimmer	Skimmer Card	掠水蜓卡片	掠水蜓卡片	covered	82541
Dragonfly Darner	Cosmetics,Monsters	Kadregan Pet | Skimmer	Skimmer Pet	卡德雷根宠物	卡德雷根宠物	covered	83285
Dragonfly Swift	Monsters	Hawker	Hawker	巡猎蜓	巡猎蜓	covered	84898
Dragonfly Swift	Monsters	Hawker	Hawker Card	巡猎蜓卡片	巡猎蜓卡片	covered	82542
Dragonic Spear	Cosmetics,Equips	Dragonic Spear	Dragonic Spear	龙之矛	龙之矛	covered	84030
DragonKnight	Archetypes	Dragon Knight	Dragon Knight	龙骑士	龙骑士	covered	82385
Dragonspire Helm	Cosmetics,Equips	Dragonspire Helm	Dragonspire Helm	龙塔头盔	龙塔头盔	covered	83851
Drooping Bat	Cosmetics,Equips	Drooping Bat	Drooping Bat	下垂的蝙蝠	下垂的蝙蝠	covered	83853
Drooping Burrow	Cosmetics,Equips	Drooping Burrow	Drooping Burrow	困倦鼹窝	困倦鼹窝	covered	83854
Drooping Cat	Cosmetics,Equips	Drooping Cat	Drooping Cat	垂耳猫	垂耳猫	covered	83855
Drooping Flora	Cosmetics,Equips	Drooping Flora	Drooping Flora	下垂的植物	下垂的植物	covered	83857
Drooping Pup	Cosmetics,Equips	Drooping Pup	Drooping Pup	下垂的小狗	下垂的小狗	covered	83858
Druid	Archetypes	Druid	Druid	德鲁伊	德鲁伊	covered	82386
Dualblade Sheath	Cosmetics,Equips	Dualblade Sheath	Dualblade Sheath	双刃护套	双刃护套	covered	83684
DualWieldMastery	SkillPassives	Dual Wield Mastery	Dual Wield Mastery	双持精通	双持精通	covered	85167
Duskfang	Cosmetics,Equips	Duskfang	Duskfang	暮牙	暮牙	covered	84031
Dustweaver Hat	Cosmetics,Equips	Dustweaver Hat	Dustweaver Hat	织尘帽	织尘帽	covered	83861
Earring_AquaBeads	Cosmetics	Aqua Beads	Aqua Beads	水珠	水珠	covered	82819
Earring_CrystalEarring	Cosmetics	Frost Crystal Earrings	Crystal Earrings	霜水晶耳环	霜水晶耳环	covered	82820
Earring_Demonic	Cosmetics	Demonic Earring	Demonic Earring	恶魔耳环	恶魔耳环	covered	82821
Earring_Earbuds	Cosmetics	Earbuds	Earbuds	耳塞	耳塞	covered	82822
Earring_FeatherBeads	Cosmetics	Feather Beads	Feather Beads	羽毛珠	羽毛珠	covered	82823
Earring_MoonlitCrystal	Cosmetics	Moonlit Shards	Moonlit Crystal	月光碎片	月光碎片	covered	82824
Earring_ObsidianHeart	Cosmetics	Obsidian Heart	Obsidian Heart	黑曜石心	黑曜石心	covered	82825
Earring_PearlHeart	Cosmetics	Pearl Heart	Pearl Heart	珍珠之心	珍珠之心	covered	82826
Earring_Puddles	Cosmetics	Puddle Drops	Puddles	水滴耳坠	水滴耳坠	covered	82827
